Gene,2K-1,3K-6,6K11,C1BHIC5,C3ACET53A,PB25,PA7,PAO1
dppC,1,1,1,1,1,1,1,1
group_11798,1,1,1,1,1,1,1,1
group_11797,1,1,1,1,1,1,1,1
cheD,1,1,1,1,1,1,1,1
mreD,1,1,1,1,1,1,1,1
nuoG,1,1,1,1,1,1,1,1
group_11795,1,1,1,1,1,1,1,1
dctD,1,1,1,1,1,1,1,1
group_11791,1,1,1,1,1,1,1,1
mtnP,1,1,1,1,1,1,1,1
alaS,1,1,1,1,1,1,1,1
group_11786,1,1,1,1,1,1,1,1
group_11783,1,1,1,1,1,1,1,1
citT,1,1,1,1,1,1,1,1
group_11781,1,1,1,1,1,1,1,1
group_11777,1,1,1,1,1,1,1,1
lysR~~~mexT,1,1,1,1,1,1,1,1
aruF,1,1,1,1,1,1,1,1
group_11774,1,1,1,1,1,1,1,1
plsY,1,1,1,1,1,1,1,1
orn,1,1,1,1,1,1,1,1
group_11772,1,1,1,1,1,1,1,1
group_11767,1,1,1,1,1,1,1,1
tgt,1,1,1,1,1,1,1,1
tmk,1,1,1,1,1,1,1,1
group_11760,1,1,1,1,1,1,1,1
hisD,1,1,1,1,1,1,1,1
hlpA,1,1,1,1,1,1,1,1
group_11757,1,1,1,1,1,1,1,1
group_11756,1,1,1,1,1,1,1,1
group_11754,1,1,1,1,1,1,1,1
group_11750,1,1,1,1,1,1,1,1
group_11749,1,1,1,1,1,1,1,1
irpA2,1,1,1,1,1,1,1,1
group_11745,1,1,1,1,1,1,1,1
nupQ,1,1,1,1,1,1,1,1
group_11744,1,1,1,1,1,1,1,1
group_11743,1,1,1,1,1,1,1,1
spuE,1,1,1,1,1,1,1,1
hisS,1,1,1,1,1,1,1,1
lptG,1,1,1,1,1,1,1,1
group_11737,1,1,1,1,1,1,1,1
group_11736,1,1,1,1,1,1,1,1
acnD,1,1,1,1,1,1,1,1
group_11732,1,1,1,1,1,1,1,1
group_11731,1,1,1,1,1,1,1,1
dapB,1,1,1,1,1,1,1,1
group_11725,1,1,1,1,1,1,1,1
mrdA,1,1,1,1,1,1,1,1
der,1,1,1,1,1,1,1,1
kdpF,1,1,1,1,1,1,1,1
aer,1,1,1,1,1,1,1,1
metF,1,1,1,1,1,1,1,1
group_11716,1,1,1,1,1,1,1,1
group_11715,1,1,1,1,1,1,1,1
group_11714,1,1,1,1,1,1,1,1
group_11713,1,1,1,1,1,1,1,1
group_11710,1,1,1,1,1,1,1,1
group_11709,1,1,1,1,1,1,1,1
group_11708,1,1,1,1,1,1,1,1
group_11707,1,1,1,1,1,1,1,1
lpxC,1,1,1,1,1,1,1,1
pA1664,1,1,1,1,1,1,1,1
oadA,1,1,1,1,1,1,1,1
group_11698,1,1,1,1,1,1,1,1
group_11696,1,1,1,1,1,1,1,1
group_11695,1,1,1,1,1,1,1,1
group_11694,1,1,1,1,1,1,1,1
group_11692,1,1,1,1,1,1,1,1
pDCD5,1,1,1,1,1,1,1,1
group_11686,1,1,1,1,1,1,1,1
xcpT,1,1,1,1,1,1,1,1
azoR1,1,1,1,1,1,1,1,1
group_11678,1,1,1,1,1,1,1,1
group_11677,1,1,1,1,1,1,1,1
group_11676,1,1,1,1,1,1,1,1
tgpA,1,1,1,1,1,1,1,1
group_11674,1,1,1,1,1,1,1,1
group_11672,1,1,1,1,1,1,1,1
group_11670,1,1,1,1,1,1,1,1
group_11668,1,1,1,1,1,1,1,1
group_11664,1,1,1,1,1,1,1,1
hflK,1,1,1,1,1,1,1,1
metC,1,1,1,1,1,1,1,1
group_11662,1,1,1,1,1,1,1,1
irpA,1,1,1,1,1,1,1,1
group_11658,1,1,1,1,1,1,1,1
group_11654,1,1,1,1,1,1,1,1
pleD~~~retS,1,1,1,1,1,1,1,1
group_11651,1,1,1,1,1,1,1,1
group_11650,1,1,1,1,1,1,1,1
group_11649,1,1,1,1,1,1,1,1
group_11646,1,1,1,1,1,1,1,1
group_11645,1,1,1,1,1,1,1,1
group_11644,1,1,1,1,1,1,1,1
pA1662~~~tssH,1,1,1,1,1,1,1,1
group_11643,1,1,1,1,1,1,1,1
group_11642,1,1,1,1,1,1,1,1
group_11635,1,1,1,1,1,1,1,1
trmB,1,1,1,1,1,1,1,1
spuC,1,1,1,1,1,1,1,1
yheT,1,1,1,1,1,1,1,1
group_11624,1,1,1,1,1,1,1,1
group_11622,1,1,1,1,1,1,1,1
eat,1,1,1,1,1,1,1,1
group_11620,1,1,1,1,1,1,1,1
group_11619,1,1,1,1,1,1,1,1
group_11612,1,1,1,1,1,1,1,1
group_11610,1,1,1,1,1,1,1,1
group_11606,1,1,1,1,1,1,1,1
rlmKL,1,1,1,1,1,1,1,1
group_11604,1,1,1,1,1,1,1,1
cptA,1,1,1,1,1,1,1,1
rpoE~~~sbrI,1,1,1,1,1,1,1,1
pip,1,1,1,1,1,1,1,1
thiC,1,1,1,1,1,1,1,1
group_11598,1,1,1,1,1,1,1,1
group_11597,1,1,1,1,1,1,1,1
rpmB,1,1,1,1,1,1,1,1
prpF,1,1,1,1,1,1,1,1
holC,1,1,1,1,1,1,1,1
group_11586,1,1,1,1,1,1,1,1
group_11585,1,1,1,1,1,1,1,1
group_11584,1,1,1,1,1,1,1,1
tsaE,1,1,1,1,1,1,1,1
group_11578,1,1,1,1,1,1,1,1
group_11574,1,1,1,1,1,1,1,1
atuD,1,1,1,1,1,1,1,1
tsx,1,1,1,1,1,1,1,1
group_11561,1,1,1,1,1,1,1,1
group_11559,1,1,1,1,1,1,1,1
group_11558,1,1,1,1,1,1,1,1
sfcA,1,1,1,1,1,1,1,1
phaZ,1,1,1,1,1,1,1,1
phnW,1,1,1,1,1,1,1,1
group_11555,1,1,1,1,1,1,1,1
rep,1,1,1,1,1,1,1,1
tim44,1,1,1,1,1,1,1,1
group_11532,1,1,1,1,1,1,1,1
miaA,1,1,1,1,1,1,1,1
cysQ,1,1,1,1,1,1,1,1
oprM,1,1,1,1,1,1,1,1
infC,1,1,1,1,1,1,1,1
group_11528,1,1,1,1,1,1,1,1
group_11527,1,1,1,1,1,1,1,1
fabA,1,1,1,1,1,1,1,1
group_11525,1,1,1,1,1,1,1,1
metXS,1,1,1,1,1,1,1,1
ubiD,1,1,1,1,1,1,1,1
pvdR,1,1,1,1,1,1,1,1
group_11517,1,1,1,1,1,1,1,1
group_11514,1,1,1,1,1,1,1,1
group_11513,1,1,1,1,1,1,1,1
rpsO,1,1,1,1,1,1,1,1
group_11506,1,1,1,1,1,1,1,1
hPtr~~~htpB,1,1,1,1,1,1,1,1
group_11499,1,1,1,1,1,1,1,1
group_11497,1,1,1,1,1,1,1,1
group_11495,1,1,1,1,1,1,1,1
group_11494,1,1,1,1,1,1,1,1
clpS,1,1,1,1,1,1,1,1
group_11492,1,1,1,1,1,1,1,1
braG,1,1,1,1,1,1,1,1
group_11491,1,1,1,1,1,1,1,1
ylaK,1,1,1,1,1,1,1,1
group_11485,1,1,1,1,1,1,1,1
napB,1,1,1,1,1,1,1,1
napD,1,1,1,1,1,1,1,1
group_11482,1,1,1,1,1,1,1,1
pA3348,1,1,1,1,1,1,1,1
aceF,1,1,1,1,1,1,1,1
nuoF,1,1,1,1,1,1,1,1
group_11475,1,1,1,1,1,1,1,1
mnhC,1,1,1,1,1,1,1,1
group_11473,1,1,1,1,1,1,1,1
mexE,1,1,1,1,1,1,1,1
group_11464,1,1,1,1,1,1,1,1
group_11463,1,1,1,1,1,1,1,1
pTC1~~~stp1,1,1,1,1,1,1,1,1
tssA~~~pA2360,1,1,1,1,1,1,1,1
group_11456,1,1,1,1,1,1,1,1
group_11454,1,1,1,1,1,1,1,1
group_11440,1,1,1,1,1,1,1,1
group_11420,1,1,1,1,1,1,1,1
group_11280,1,1,1,1,1,1,1,1
group_11182,1,1,1,1,1,1,1,1
carS,1,1,1,1,1,1,1,1
yfiR,1,1,1,1,1,1,1,1
purA,1,1,1,1,1,1,1,1
hmpA,1,1,1,1,1,1,1,1
group_11069,1,1,1,1,1,1,1,1
group_11002,1,1,1,1,1,1,1,1
group_10961,1,1,1,1,1,1,1,1
plpD,1,1,1,1,1,1,1,1
group_10946,1,1,1,1,1,1,1,1
lpqC,1,1,1,1,1,1,1,1
group_10923,1,1,1,1,1,1,1,1
group_10817,1,1,1,1,1,1,1,1
folC,1,1,1,1,1,1,1,1
lppL,1,1,1,1,1,1,1,1
hTD2,1,1,1,1,1,1,1,1
group_10762,1,1,1,1,1,1,1,1
group_10754,1,1,1,1,1,1,1,1
group_10753,1,1,1,1,1,1,1,1
group_10752,1,1,1,1,1,1,1,1
rhtA,1,1,1,1,1,1,1,1
group_10748,1,1,1,1,1,1,1,1
group_10697,1,1,1,1,1,1,1,1
group_10696,1,1,1,1,1,1,1,1
group_10694,1,1,1,1,1,1,1,1
group_10692,1,1,1,1,1,1,1,1
group_10691,1,1,1,1,1,1,1,1
group_10690,1,1,1,1,1,1,1,1
group_10683,1,1,1,1,1,1,1,1
group_10675,1,1,1,1,1,1,1,1
ykgO,1,1,1,1,1,1,1,1
arfA,1,1,1,1,1,1,1,1
group_10655,1,1,1,1,1,1,1,1
group_10643,1,1,1,1,1,1,1,1
group_10639,1,1,1,1,1,1,1,1
group_10637,1,1,1,1,1,1,1,1
group_10636,1,1,1,1,1,1,1,1
group_10632,1,1,1,1,1,1,1,1
group_10631,1,1,1,1,1,1,1,1
group_10629,1,1,1,1,1,1,1,1
group_10627,1,1,1,1,1,1,1,1
group_10613,1,1,1,1,1,1,1,1
group_10602,1,1,1,1,1,1,1,1
group_10601,1,1,1,1,1,1,1,1
group_10600,1,1,1,1,1,1,1,1
group_10598,1,1,1,1,1,1,1,1
group_10596,1,1,1,1,1,1,1,1
group_10593,1,1,1,1,1,1,1,1
group_10592,1,1,1,1,1,1,1,1
group_10582,1,1,1,1,1,1,1,1
group_10581,1,1,1,1,1,1,1,1
pmrA,1,1,1,1,1,1,1,1
group_10572,1,1,1,1,1,1,1,1
group_10571,1,1,1,1,1,1,1,1
group_10570,1,1,1,1,1,1,1,1
group_10569,1,1,1,1,1,1,1,1
group_10567,1,1,1,1,1,1,1,1
napE,1,1,1,1,1,1,1,1
group_10565,1,1,1,1,1,1,1,1
rubA1,1,1,1,1,1,1,1,1
rubA2,1,1,1,1,1,1,1,1
group_10563,1,1,1,1,1,1,1,1
group_10560,1,1,1,1,1,1,1,1
group_10543,1,1,1,1,1,1,1,1
ccmD,1,1,1,1,1,1,1,1
group_10516,1,1,1,1,1,1,1,1
group_10511,1,1,1,1,1,1,1,1
oprO,1,1,1,1,1,1,1,1
group_10501,1,1,1,1,1,1,1,1
rpmF,1,1,1,1,1,1,1,1
group_10458,1,1,1,1,1,1,1,1
group_10435,1,1,1,1,1,1,1,1
group_10428,1,1,1,1,1,1,1,1
group_10418,1,1,1,1,1,1,1,1
group_10417,1,1,1,1,1,1,1,1
tsi5,1,1,1,1,1,1,1,1
trpE,1,1,1,1,1,1,1,1
group_10416,1,1,1,1,1,1,1,1
group_10415,1,1,1,1,1,1,1,1
group_10401,1,1,1,1,1,1,1,1
yccS,1,1,1,1,1,1,1,1
group_10398,1,1,1,1,1,1,1,1
cntI,1,1,1,1,1,1,1,1
rpmI,1,1,1,1,1,1,1,1
mcpK,1,1,1,1,1,1,1,1
yjbJ,1,1,1,1,1,1,1,1
iscX,1,1,1,1,1,1,1,1
group_10361,1,1,1,1,1,1,1,1
thiS,1,1,1,1,1,1,1,1
group_10345,1,1,1,1,1,1,1,1
group_10343,1,1,1,1,1,1,1,1
group_10342,1,1,1,1,1,1,1,1
creB,1,1,1,1,1,1,1,1
group_10305,1,1,1,1,1,1,1,1
cspA,1,1,1,1,1,1,1,1
group_10303,1,1,1,1,1,1,1,1
group_10302,1,1,1,1,1,1,1,1
group_10301,1,1,1,1,1,1,1,1
nupO,1,1,1,1,1,1,1,1
group_10278,1,1,1,1,1,1,1,1
group_10272,1,1,1,1,1,1,1,1
rpsU,1,1,1,1,1,1,1,1
group_10250,1,1,1,1,1,1,1,1
rpmE,1,1,1,1,1,1,1,1
group_10234,1,1,1,1,1,1,1,1
infA,1,1,1,1,1,1,1,1
group_10216,1,1,1,1,1,1,1,1
mdoH,1,1,1,1,1,1,1,1
yuiF,1,1,1,1,1,1,1,1
group_10188,1,1,1,1,1,1,1,1
group_10185,1,1,1,1,1,1,1,1
group_10184,1,1,1,1,1,1,1,1
group_10180,1,1,1,1,1,1,1,1
group_10160,1,1,1,1,1,1,1,1
flgK,1,1,1,1,1,1,1,1
group_10141,1,1,1,1,1,1,1,1
nqrM,1,1,1,1,1,1,1,1
group_10139,1,1,1,1,1,1,1,1
group_10128,1,1,1,1,1,1,1,1
group_10116,1,1,1,1,1,1,1,1
tssA~~~pA1656,1,1,1,1,1,1,1,1
group_10112,1,1,1,1,1,1,1,1
group_10105,1,1,1,1,1,1,1,1
group_10104,1,1,1,1,1,1,1,1
group_10103,1,1,1,1,1,1,1,1
rpsR,1,1,1,1,1,1,1,1
fimW,1,1,1,1,1,1,1,1
group_10093,1,1,1,1,1,1,1,1
nagD,1,1,1,1,1,1,1,1
group_10055,1,1,1,1,1,1,1,1
group_10054,1,1,1,1,1,1,1,1
group_10053,1,1,1,1,1,1,1,1
ccpA,1,1,1,1,1,1,1,1
group_10033,1,1,1,1,1,1,1,1
group_10005,1,1,1,1,1,1,1,1
group_10002,1,1,1,1,1,1,1,1
group_9976,1,1,1,1,1,1,1,1
yeaQ,1,1,1,1,1,1,1,1
yraN,1,1,1,1,1,1,1,1
tatA,1,1,1,1,1,1,1,1
hfq,1,1,1,1,1,1,1,1
group_9879,1,1,1,1,1,1,1,1
nuoI,1,1,1,1,1,1,1,1
group_9827,1,1,1,1,1,1,1,1
minE,1,1,1,1,1,1,1,1
group_9816,1,1,1,1,1,1,1,1
group_9807,1,1,1,1,1,1,1,1
group_9802,1,1,1,1,1,1,1,1
group_9799,1,1,1,1,1,1,1,1
atpE,1,1,1,1,1,1,1,1
rpmA,1,1,1,1,1,1,1,1
cheY~~~chpA,1,1,1,1,1,1,1,1
group_9789,1,1,1,1,1,1,1,1
pilO,1,1,1,1,1,1,1,1
group_9781,1,1,1,1,1,1,1,1
group_9764,1,1,1,1,1,1,1,1
group_9746,1,1,1,1,1,1,1,1
yeaC,1,1,1,1,1,1,1,1
group_9745,1,1,1,1,1,1,1,1
group_9726,1,1,1,1,1,1,1,1
rpoZ,1,1,1,1,1,1,1,1
group_9725,1,1,1,1,1,1,1,1
tsi1,1,1,1,1,1,1,1,1
hupB,1,1,1,1,1,1,1,1
hupA,1,1,1,1,1,1,1,1
group_9677,1,1,1,1,1,1,1,1
group_9658,1,1,1,1,1,1,1,1
group_9657,1,1,1,1,1,1,1,1
thyA,1,1,1,1,1,1,1,1
group_9655,1,1,1,1,1,1,1,1
rpsT,1,1,1,1,1,1,1,1
dsbD1,1,1,1,1,1,1,1,1
rCL,1,1,1,1,1,1,1,1
metR,1,1,1,1,1,1,1,1
ftsB,1,1,1,1,1,1,1,1
group_9592,1,1,1,1,1,1,1,1
nudC,1,1,1,1,1,1,1,1
group_9588,1,1,1,1,1,1,1,1
group_9577,1,1,1,1,1,1,1,1
group_9575,1,1,1,1,1,1,1,1
group_9574,1,1,1,1,1,1,1,1
group_9573,1,1,1,1,1,1,1,1
hemJ,1,1,1,1,1,1,1,1
group_9559,1,1,1,1,1,1,1,1
gatC,1,1,1,1,1,1,1,1
group_9557,1,1,1,1,1,1,1,1
group_9556,1,1,1,1,1,1,1,1
yobN,1,1,1,1,1,1,1,1
group_9554,1,1,1,1,1,1,1,1
groES,1,1,1,1,1,1,1,1
cheB~~~cheB2,1,1,1,1,1,1,1,1
group_9521,1,1,1,1,1,1,1,1
ybcI,1,1,1,1,1,1,1,1
gdhA,1,1,1,1,1,1,1,1
group_9491,1,1,1,1,1,1,1,1
group_9488,1,1,1,1,1,1,1,1
group_9474,1,1,1,1,1,1,1,1
ihfA,1,1,1,1,1,1,1,1
group_9471,1,1,1,1,1,1,1,1
pyeR,1,1,1,1,1,1,1,1
hsbA,1,1,1,1,1,1,1,1
group_9450,1,1,1,1,1,1,1,1
nuoK,1,1,1,1,1,1,1,1
raiA,1,1,1,1,1,1,1,1
group_9419,1,1,1,1,1,1,1,1
yjcH,1,1,1,1,1,1,1,1
rplU,1,1,1,1,1,1,1,1
group_9397,1,1,1,1,1,1,1,1
sCP2,1,1,1,1,1,1,1,1
ykoI,1,1,1,1,1,1,1,1
nirM,1,1,1,1,1,1,1,1
zapA,1,1,1,1,1,1,1,1
yhbY,1,1,1,1,1,1,1,1
group_9371,1,1,1,1,1,1,1,1
yedF,1,1,1,1,1,1,1,1
yqfO,1,1,1,1,1,1,1,1
group_9350,1,1,1,1,1,1,1,1
group_9333,1,1,1,1,1,1,1,1
group_9329,1,1,1,1,1,1,1,1
atl1,1,1,1,1,1,1,1,1
fdxA,1,1,1,1,1,1,1,1
group_9320,1,1,1,1,1,1,1,1
iscA,1,1,1,1,1,1,1,1
group_9319,1,1,1,1,1,1,1,1
fis,1,1,1,1,1,1,1,1
mnaT,1,1,1,1,1,1,1,1
dadA2,1,1,1,1,1,1,1,1
group_9303,1,1,1,1,1,1,1,1
ycgN,1,1,1,1,1,1,1,1
group_9300,1,1,1,1,1,1,1,1
group_9299,1,1,1,1,1,1,1,1
group_9298,1,1,1,1,1,1,1,1
glxK,1,1,1,1,1,1,1,1
fliE,1,1,1,1,1,1,1,1
group_9277,1,1,1,1,1,1,1,1
glpM,1,1,1,1,1,1,1,1
dsbB2,1,1,1,1,1,1,1,1
group_9258,1,1,1,1,1,1,1,1
group_9257,1,1,1,1,1,1,1,1
yaiL,1,1,1,1,1,1,1,1
spoT,1,1,1,1,1,1,1,1
ahcY,1,1,1,1,1,1,1,1
ureF,1,1,1,1,1,1,1,1
group_9238,1,1,1,1,1,1,1,1
pduO,1,1,1,1,1,1,1,1
rsmD,1,1,1,1,1,1,1,1
group_9226,1,1,1,1,1,1,1,1
group_9224,1,1,1,1,1,1,1,1
hisE,1,1,1,1,1,1,1,1
group_9223,1,1,1,1,1,1,1,1
group_9222,1,1,1,1,1,1,1,1
ycfP,1,1,1,1,1,1,1,1
group_9204,1,1,1,1,1,1,1,1
group_9200,1,1,1,1,1,1,1,1
group_9199,1,1,1,1,1,1,1,1
yajC,1,1,1,1,1,1,1,1
group_9186,1,1,1,1,1,1,1,1
group_9184,1,1,1,1,1,1,1,1
group_9183,1,1,1,1,1,1,1,1
group_9181,1,1,1,1,1,1,1,1
group_9180,1,1,1,1,1,1,1,1
ydbL,1,1,1,1,1,1,1,1
osmY,1,1,1,1,1,1,1,1
rplS,1,1,1,1,1,1,1,1
erpA,1,1,1,1,1,1,1,1
ydeI,1,1,1,1,1,1,1,1
group_9112,1,1,1,1,1,1,1,1
yhaH,1,1,1,1,1,1,1,1
group_9111,1,1,1,1,1,1,1,1
uRH1,1,1,1,1,1,1,1,1
queD,1,1,1,1,1,1,1,1
group_9097,1,1,1,1,1,1,1,1
rplT,1,1,1,1,1,1,1,1
group_9096,1,1,1,1,1,1,1,1
rsfS,1,1,1,1,1,1,1,1
group_9082,1,1,1,1,1,1,1,1
nirC,1,1,1,1,1,1,1,1
pA1663~~~fhlA,1,1,1,1,1,1,1,1
group_9067,1,1,1,1,1,1,1,1
group_9061,1,1,1,1,1,1,1,1
group_9059,1,1,1,1,1,1,1,1
yggL,1,1,1,1,1,1,1,1
group_9058,1,1,1,1,1,1,1,1
group_9039,1,1,1,1,1,1,1,1
pilH,1,1,1,1,1,1,1,1
murC,1,1,1,1,1,1,1,1
group_9022,1,1,1,1,1,1,1,1
gatB,1,1,1,1,1,1,1,1
group_9004,1,1,1,1,1,1,1,1
dgkA,1,1,1,1,1,1,1,1
tic20a,1,1,1,1,1,1,1,1
yciH,1,1,1,1,1,1,1,1
group_8994,1,1,1,1,1,1,1,1
sdhD,1,1,1,1,1,1,1,1
bamB,1,1,1,1,1,1,1,1
group_8987,1,1,1,1,1,1,1,1
group_8976,1,1,1,1,1,1,1,1
yqjE,1,1,1,1,1,1,1,1
thiI,1,1,1,1,1,1,1,1
atpI,1,1,1,1,1,1,1,1
group_8960,1,1,1,1,1,1,1,1
panD,1,1,1,1,1,1,1,1
