Gene,Non-unique Gene name,Annotation,2K-1,3K-6,6K11,C1BHIC5,C3ACET53A,PB25,PA7,PAO1
group_12073,,hypothetical protein,PDAIHB_03115,PBCHDC_00075,KMNHBM_00075,BBDLCB_01370,MADGKI_07690,PBCHDC_00075,PNMAHC_12125,FJKPLL_13995
hpaB,;hpaB,4-hydroxyphenylacetate 3-hydroxylase C terminal;4-hydroxyphenylacetate 3-monooxygenase oxygenase component,PDAIHB_23405,PBCHDC_23875,KMNHBM_22420,BBDLCB_26735,MADGKI_26040,PBCHDC_23875,PNMAHC_04835,FJKPLL_20980
group_12071,,Helicase ATP-binding domain-containing protein;helicase,PDAIHB_25695,PBCHDC_12845,KMNHBM_14080,BBDLCB_14890,MADGKI_17315,PBCHDC_12845,PNMAHC_22715,FJKPLL_03935
fAU1,fAU1,5-formyltetrahydrofolate cyclo-ligase,PDAIHB_00205,PBCHDC_06885,KMNHBM_06885,BBDLCB_03980,MADGKI_09260,PBCHDC_06885,PNMAHC_28865,FJKPLL_26945
group_12065,trkA,Trk system potassium transporter TrkA,PDAIHB_19905,PBCHDC_18145,KMNHBM_18420,BBDLCB_24925,MADGKI_21825,PBCHDC_18145,PNMAHC_00080,FJKPLL_28760
nrdB,;nrdB,ribonucleotide-diphosphate reductase subunit beta;hypothetical protein,PDAIHB_08265,PBCHDC_16170,KMNHBM_16395,BBDLCB_12805,MADGKI_19395,PBCHDC_16170,PNMAHC_20330,FJKPLL_05795
group_12061,,hypothetical protein,PDAIHB_16260,PBCHDC_21210,KMNHBM_20990,BBDLCB_19190,MADGKI_10790,PBCHDC_21210,PNMAHC_16690,FJKPLL_09250
rpoS,rpoS,RNA polymerase sigma factor RpoS,PDAIHB_07835,PBCHDC_04800,KMNHBM_04800,BBDLCB_08995,MADGKI_02350,PBCHDC_04800,PNMAHC_07280,FJKPLL_18590
fliF,fliF;,flagellar M-ring protein FliF;hypothetical protein;Flagellar basal body M-ring protein FliF,PDAIHB_08535,PBCHDC_15900,KMNHBM_16125,BBDLCB_13090,MADGKI_19110,PBCHDC_15900,PNMAHC_20545,FJKPLL_05515
yqfA,yqfA,hemolysin III,PDAIHB_02280,PBCHDC_08960,KMNHBM_08960,BBDLCB_06045,MADGKI_20585,PBCHDC_08960,PNMAHC_26840,FJKPLL_24885
group_12057,,hypothetical protein,PDAIHB_11600,PBCHDC_10825,KMNHBM_10820,BBDLCB_21860,MADGKI_14800,PBCHDC_10825,PNMAHC_03645,FJKPLL_02955
trmD,;trmD,tRNA (guanine-N(1)-)-methyltransferase;tRNA (Guanine-N(1)-)-methyltransferase;tRNA (guanosine(37)-N1)-methyltransferase TrmD,PDAIHB_07220,PBCHDC_04185,KMNHBM_04185,BBDLCB_09610,MADGKI_01735,PBCHDC_04185,PNMAHC_06600,FJKPLL_19205
cysP,;cysP,Sulfate ABC transporter periplasmic sulfate-binding protein;sulfate ABC transporter substrate-binding protein;Thiosulfate-binding protein,PDAIHB_13360,PBCHDC_16465,KMNHBM_16960,BBDLCB_11145,MADGKI_12280,PBCHDC_16465,PNMAHC_18490,FJKPLL_07520
pheS,;pheS,Phenylalanyl-tRNA synthetase subunit alpha;phenylalanine--tRNA ligase subunit alpha,PDAIHB_03070,PBCHDC_00030,KMNHBM_00030,BBDLCB_01325,MADGKI_07735,PBCHDC_00030,PNMAHC_12170,FJKPLL_13950
nirF,;nirF,heme d1 biosynthesis protein NirF;hypothetical protein,PDAIHB_11100,PBCHDC_11325,KMNHBM_11320,BBDLCB_22385,MADGKI_15325,PBCHDC_11325,PNMAHC_02950,FJKPLL_02445
pilI,;pilI,hypothetical protein;chemotaxis protein CheW;twitching motility protein PilI,PDAIHB_10575,PBCHDC_11850,KMNHBM_11845,BBDLCB_22910,MADGKI_15850,PBCHDC_11850,PNMAHC_02450,FJKPLL_01915
fliA,;fliA,RNA polymerase sigma factor FliA;hypothetical protein;flagellar biosynthesis sigma factor FliA,PDAIHB_13165,PBCHDC_16660,KMNHBM_17155,BBDLCB_11335,MADGKI_12470,PBCHDC_16660,PNMAHC_18650,FJKPLL_07325
hutG2,hutG2,N-formylglutamate amidohydrolase,PDAIHB_20290,PBCHDC_18530,KMNHBM_18805,BBDLCB_24535,MADGKI_21435,PBCHDC_18530,PNMAHC_30485,FJKPLL_28375
ampG,;ampG,Aldedh domain-containing protein;hypothetical protein;MFS transporter AmpG,PDAIHB_13885,PBCHDC_06250,KMNHBM_05460,BBDLCB_16175,MADGKI_03930,PBCHDC_06250,PNMAHC_23925,FJKPLL_22525
group_12046,perM;,AI-2E family transporter,PDAIHB_24970,PBCHDC_13170,KMNHBM_12630,BBDLCB_18130,MADGKI_11850,PBCHDC_13170,PNMAHC_17555,FJKPLL_08190
rsmI,rsmI;,16S rRNA (cytidine(1402)-2'-O)-methyltransferase;Corrin/porphyrin methyltransferase,PDAIHB_14035,PBCHDC_06100,KMNHBM_05610,BBDLCB_16325,MADGKI_04080,PBCHDC_06100,PNMAHC_24075,FJKPLL_22675
group_12042,hutH,histidine ammonia-lyase,PDAIHB_00915,PBCHDC_07595,KMNHBM_07595,BBDLCB_04685,MADGKI_09965,PBCHDC_07595,PNMAHC_28170,FJKPLL_26245
group_12041,;osmY,Secreted lipoprotein;Putative Lipoprotein;phospholipid-binding protein,PDAIHB_14055,PBCHDC_06080,KMNHBM_05630,BBDLCB_16345,MADGKI_04100,PBCHDC_06080,PNMAHC_24095,FJKPLL_22695
group_12036,,chromosome partitioning protein ParA,PDAIHB_05335,PBCHDC_02295,KMNHBM_02295,BBDLCB_03275,MADGKI_05795,PBCHDC_02295,PNMAHC_09905,FJKPLL_15835
group_12035,caiB,CoA transferase,PDAIHB_10745,PBCHDC_11680,KMNHBM_11675,BBDLCB_22740,MADGKI_15680,PBCHDC_11680,PNMAHC_02620,FJKPLL_02085
group_12033,potE,amino acid permease,PDAIHB_07965,PBCHDC_04930,KMNHBM_04930,BBDLCB_08865,MADGKI_02480,PBCHDC_04930,PNMAHC_07410,FJKPLL_18460
group_12032,,aminopeptidase,PDAIHB_27880,PBCHDC_26535,KMNHBM_24815,BBDLCB_21545,MADGKI_23505,PBCHDC_26535,PNMAHC_00305,FJKPLL_00135
group_12031,,Lipoprotein;hypothetical protein,PDAIHB_27890,PBCHDC_26545,KMNHBM_24805,BBDLCB_21555,MADGKI_23495,PBCHDC_26545,PNMAHC_00295,FJKPLL_00125
group_12030,;caiD,Putative enoyl-CoA hydratase/isomerase;enoyl-CoA hydratase-related protein;enoyl-CoA hydratase,PDAIHB_07995,PBCHDC_04960,KMNHBM_04960,BBDLCB_08835,MADGKI_02510,PBCHDC_04960,PNMAHC_07440,FJKPLL_18430
group_12027,;speD,S-adenosylmethionine decarboxylase proenzyme [contains: S-adenosylmethionine decarboxylase beta chain S-adenosylmethionine decarboxylase alpha chain];S-adenosylmethionine decarboxylase proenzyme;adenosylmethionine decarboxylase,PDAIHB_11725,PBCHDC_10700,KMNHBM_10695,BBDLCB_21750,MADGKI_14690,PBCHDC_10700,PNMAHC_03830,FJKPLL_03155
atpD,atpD;,F0F1 ATP synthase subunit beta;Protein-secreting ATPase,PDAIHB_20065,PBCHDC_18305,KMNHBM_18580,BBDLCB_24765,MADGKI_21665,PBCHDC_18305,PNMAHC_30700,FJKPLL_28600
gdhB,gdhB;,NAD-specific glutamate dehydrogenase;NAD-glutamate dehydrogenase,PDAIHB_05220,PBCHDC_02180,KMNHBM_02180,BBDLCB_03160,MADGKI_05910,PBCHDC_02180,PNMAHC_10025,FJKPLL_15720
group_12020,wcaG;,epimerase;Putative epimerase,PDAIHB_27420,PBCHDC_23220,KMNHBM_24380,BBDLCB_17425,MADGKI_05180,PBCHDC_23220,PNMAHC_25460,FJKPLL_23775
vgrG1b,vgrG1b;,Type VI secretion system spike protein VgrG1b;hypothetical protein;type VI secretion system spike protein VgrG1b,PDAIHB_17700,PBCHDC_25070,KMNHBM_24975,BBDLCB_21380,MADGKI_23670,PBCHDC_25070,PNMAHC_00825,FJKPLL_00295
group_12019,;frmR,hypothetical protein;Metal-sensitive transcriptional repressor,PDAIHB_12340,PBCHDC_17480,KMNHBM_17980,BBDLCB_12065,MADGKI_13200,PBCHDC_17480,PNMAHC_19695,FJKPLL_06530
group_12018,fadH,NADPH-dependent 24-dienoyl-CoA reductase,PDAIHB_02385,PBCHDC_09065,KMNHBM_09065,BBDLCB_06150,MADGKI_20690,PBCHDC_09065,PNMAHC_26740,FJKPLL_24785
alaC,alaC,alanine transaminase,PDAIHB_02910,PBCHDC_09590,KMNHBM_09590,BBDLCB_06675,MADGKI_24340,PBCHDC_09590,PNMAHC_26235,FJKPLL_24260
group_12017,;plsC,Putative acyltransferase;1-acyl-sn-glycerol-3-phosphate acyltransferase,PDAIHB_16905,PBCHDC_19260,KMNHBM_19535,BBDLCB_00240,MADGKI_08820,PBCHDC_19260,PNMAHC_13075,FJKPLL_12875
group_12016,;aspB,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme;aminotransferase,PDAIHB_03985,PBCHDC_00945,KMNHBM_00945,BBDLCB_01910,MADGKI_07150,PBCHDC_00945,PNMAHC_11285,FJKPLL_14485
recA,;recA,recombinase RecA,PDAIHB_07865,PBCHDC_04830,KMNHBM_04830,BBDLCB_08965,MADGKI_02380,PBCHDC_04830,PNMAHC_07310,FJKPLL_18560
group_12014,,30S ribosomal protein S3,PDAIHB_08810,PBCHDC_15625,KMNHBM_15850,BBDLCB_13365,MADGKI_18835,PBCHDC_15625,PNMAHC_20820,FJKPLL_05270
group_12013,mltF,lytic transglycosylase F,PDAIHB_04175,PBCHDC_01135,KMNHBM_01135,BBDLCB_02100,MADGKI_06960,PBCHDC_01135,PNMAHC_11090,FJKPLL_14675
proB,;proB,hypothetical protein;Glutamate 5-kinase,PDAIHB_23955,PBCHDC_21815,KMNHBM_23090,BBDLCB_17075,MADGKI_04830,PBCHDC_21815,PNMAHC_25120,FJKPLL_23420
gltP,gltP;,glutamate/aspartate:proton symporter GltP;hypothetical protein,PDAIHB_20440,PBCHDC_18680,KMNHBM_18955,BBDLCB_24385,MADGKI_21285,PBCHDC_18680,PNMAHC_30335,FJKPLL_28225
hptA,hptA,hypoxanthine-guanine phosphoribosyltransferase,PDAIHB_27340,PBCHDC_23300,KMNHBM_24460,BBDLCB_17505,MADGKI_05260,PBCHDC_23300,PNMAHC_25540,FJKPLL_23855
group_12010,fhuE;,TonB-dependent siderophore receptor;TonB-dependent receptor,PDAIHB_17985,PBCHDC_25355,KMNHBM_25260,BBDLCB_21100,MADGKI_23950,PBCHDC_25355,PNMAHC_01100,FJKPLL_00575
group_12006,;uspA,universal stress protein,PDAIHB_04010,PBCHDC_00970,KMNHBM_00970,BBDLCB_01935,MADGKI_07125,PBCHDC_00970,PNMAHC_11260,FJKPLL_14510
corC,corC;,magnesium/cobalt efflux protein;hypothetical protein,PDAIHB_05985,PBCHDC_02945,KMNHBM_02945,BBDLCB_10865,MADGKI_00475,PBCHDC_02945,PNMAHC_05380,FJKPLL_20450
phrB,phrB,deoxyribodipyrimidine photo-lyase,PDAIHB_27265,PBCHDC_23375,KMNHBM_24535,BBDLCB_17580,MADGKI_05335,PBCHDC_23375,PNMAHC_25615,FJKPLL_23930
ccmF,;ccmF,cytochrome c biogenesis protein CcsA;Cytochrome c-type biogenesis protein CcmF,PDAIHB_13290,PBCHDC_16535,KMNHBM_17030,BBDLCB_11215,MADGKI_12350,PBCHDC_16535,PNMAHC_18530,FJKPLL_07450
group_11999,;yHI9,PhzF family phenazine biosynthesis protein;phenazine biosynthesis protein PhzF,PDAIHB_12685,PBCHDC_17135,KMNHBM_17635,BBDLCB_11710,MADGKI_12845,PBCHDC_17135,PNMAHC_19345,FJKPLL_06885
algQ,algQ,Alginate regulatory protein AlgQ,PDAIHB_00060,PBCHDC_06740,KMNHBM_06740,BBDLCB_03835,MADGKI_09115,PBCHDC_06740,PNMAHC_29010,FJKPLL_27090
group_11998,grxC,glutaredoxin 3,PDAIHB_00750,PBCHDC_07430,KMNHBM_07430,BBDLCB_04515,MADGKI_09795,PBCHDC_07430,PNMAHC_28330,FJKPLL_26415
group_11995,;dctQ,hypothetical protein;TRAP transporter large permease,PDAIHB_07015,PBCHDC_03975,KMNHBM_03975,BBDLCB_09810,MADGKI_01535,PBCHDC_03975,PNMAHC_06410,FJKPLL_19400
group_11994,,hypothetical protein,PDAIHB_08090,PBCHDC_16345,KMNHBM_16570,BBDLCB_12630,MADGKI_19570,PBCHDC_16345,PNMAHC_20160,FJKPLL_05970
tssC~~~pA2366,;tssC;pA2366,hypothetical protein;type VI secretion system contractile sheath large subunit;uricase,PDAIHB_22815,PBCHDC_22510,KMNHBM_23465,BBDLCB_23680,MADGKI_23210,PBCHDC_22510,PNMAHC_13960,FJKPLL_12015
group_11993,;pepP,Xaa-Pro aminopeptidase;aminopeptidase P N-terminal domain-containing protein;M24 family metallopeptidase,PDAIHB_00230,PBCHDC_06910,KMNHBM_06910,BBDLCB_04005,MADGKI_09285,PBCHDC_06910,PNMAHC_28840,FJKPLL_26920
group_11992,;nuoI,hypothetical protein;NADH-quinone oxidoreductase subunit NuoI,PDAIHB_17475,PBCHDC_19830,KMNHBM_20105,BBDLCB_00820,MADGKI_08240,PBCHDC_19830,PNMAHC_12430,FJKPLL_13455
group_11988,hDOD;,histidine kinase;HDOD domain-containing protein;hypothetical protein,PDAIHB_01640,PBCHDC_08320,KMNHBM_08320,BBDLCB_05415,MADGKI_19955,PBCHDC_08320,PNMAHC_27465,FJKPLL_25515
tlpQ,tlpQ,Methyl-accepting chemotaxis protein TlpQ,PDAIHB_17530,PBCHDC_19885,KMNHBM_20160,BBDLCB_00875,MADGKI_08185,PBCHDC_19885,PNMAHC_12350,FJKPLL_13505
lpxO2,;lpxO2,aspartyl/asparaginyl beta-hydroxylase domain-containing protein;lipid A hydroxylase LpxO2,PDAIHB_09375,PBCHDC_15060,KMNHBM_15285,BBDLCB_13930,MADGKI_18270,PBCHDC_15060,PNMAHC_22000,FJKPLL_04660
group_11984,sCPU,spore coat protein U,PDAIHB_27320,PBCHDC_23320,KMNHBM_24480,BBDLCB_17525,MADGKI_05280,PBCHDC_23320,PNMAHC_25560,FJKPLL_23875
calB,calB,putative coniferyl aldehyde dehydrogenase,PDAIHB_10345,PBCHDC_12080,KMNHBM_12075,BBDLCB_23140,MADGKI_16080,PBCHDC_12080,PNMAHC_02200,FJKPLL_01685
apeB,;apeB,hypothetical protein;M18 family aminopeptidase,PDAIHB_22340,PBCHDC_13815,KMNHBM_13625,BBDLCB_07115,MADGKI_22680,PBCHDC_13815,PNMAHC_09055,FJKPLL_16630
group_11982,;ssuD,Alkanesulfonate monooxygenase;FMNH2-dependent alkanesulfonate monooxygenase,PDAIHB_22865,PBCHDC_22460,KMNHBM_23515,BBDLCB_23730,MADGKI_23160,PBCHDC_22460,PNMAHC_14010,FJKPLL_11965
uvrC,;uvrC,excinuclease ABC subunit UvrC,PDAIHB_17170,PBCHDC_19525,KMNHBM_19800,BBDLCB_00515,MADGKI_08545,PBCHDC_19525,PNMAHC_12675,FJKPLL_13150
flgI,flgI,flagellar P-ring protein precursor FlgI,PDAIHB_08650,PBCHDC_15785,KMNHBM_16010,BBDLCB_13205,MADGKI_18995,PBCHDC_15785,PNMAHC_20660,FJKPLL_05430
group_11980,;pAS,PAS-domain containing protein;Histidine kinase;hybrid sensor histidine kinase/response regulator,PDAIHB_22195,PBCHDC_13960,KMNHBM_13480,BBDLCB_07275,MADGKI_22520,PBCHDC_13960,PNMAHC_08910,FJKPLL_16775
group_11979,;ureG,Urease accessory protein UreG;urease accessory protein UreG,PDAIHB_01965,PBCHDC_08645,KMNHBM_08645,BBDLCB_05735,MADGKI_20275,PBCHDC_08645,PNMAHC_27150,FJKPLL_25195
group_11978,uspA,universal stress protein,PDAIHB_13670,PBCHDC_06465,KMNHBM_05245,BBDLCB_15960,MADGKI_03715,PBCHDC_06465,PNMAHC_23715,FJKPLL_22310
group_11977,lysP,Amino acid permease;gamma-aminobutyrate permease,PDAIHB_27435,PBCHDC_23205,KMNHBM_24365,BBDLCB_17410,MADGKI_05165,PBCHDC_23205,PNMAHC_25445,FJKPLL_23760
group_11976,;ntrY,ATP-binding protein;cell wall metabolism sensor histidine kinase WalK;PAS domain-containing sensor histidine kinase,PDAIHB_13910,PBCHDC_06225,KMNHBM_05485,BBDLCB_16200,MADGKI_03955,PBCHDC_06225,PNMAHC_23950,FJKPLL_22550
bifA,;bifA,cyclic-di-GMP phosphodiesterase BifA;GGDEF domain/EAL domain-containing protein;GGDEF-domain containing protein,PDAIHB_13750,PBCHDC_06385,KMNHBM_05325,BBDLCB_16040,MADGKI_03795,PBCHDC_06385,PNMAHC_23790,FJKPLL_22390
group_11975,fadB;,3-hydroxyacyl-CoA dehydrogenase;3-hydroxyacyl-CoA dehydrogenase family protein;3-hydroxyadipyl-CoA dehydrogenase,PDAIHB_24955,PBCHDC_13155,KMNHBM_12615,BBDLCB_18145,MADGKI_11835,PBCHDC_13155,PNMAHC_17540,FJKPLL_08205
hemW,hemW,radical SAM family heme chaperone HemW,PDAIHB_10450,PBCHDC_11975,KMNHBM_11970,BBDLCB_23035,MADGKI_15975,PBCHDC_11975,PNMAHC_02325,FJKPLL_01790
group_11969,pqqL;,peptidase M16;hypothetical protein,PDAIHB_10375,PBCHDC_12050,KMNHBM_12045,BBDLCB_23110,MADGKI_16050,PBCHDC_12050,PNMAHC_02230,FJKPLL_01715
benE,benE,Benzoate membrane transport protein,PDAIHB_24835,PBCHDC_13035,KMNHBM_12495,BBDLCB_18265,MADGKI_11715,PBCHDC_13035,PNMAHC_17420,FJKPLL_08325
pA1657,pA1657,hypothetical protein,PDAIHB_15110,PBCHDC_20060,KMNHBM_22140,BBDLCB_18295,MADGKI_11685,PBCHDC_20060,PNMAHC_17390,FJKPLL_08355
group_11966,ruvC,crossover junction endodeoxyribonuclease RuvC,PDAIHB_09220,PBCHDC_15215,KMNHBM_15440,BBDLCB_13775,MADGKI_18425,PBCHDC_15215,PNMAHC_21845,FJKPLL_04815
ruvB,ruvB,Holliday junction branch migration DNA helicase RuvB,PDAIHB_09210,PBCHDC_15225,KMNHBM_15450,BBDLCB_13765,MADGKI_18435,PBCHDC_15225,PNMAHC_21835,FJKPLL_04825
group_11965,cytC5,cytochrome c5 family protein,PDAIHB_20385,PBCHDC_18625,KMNHBM_18900,BBDLCB_24440,MADGKI_21340,PBCHDC_18625,PNMAHC_30390,FJKPLL_28280
nqrD,;nqrD,Na(+)-translocating NADH-quinone reductase subunit D;NADH:ubiquinone reductase (Na(+)-transporting) subunit D,PDAIHB_04860,PBCHDC_01820,KMNHBM_01820,BBDLCB_02795,MADGKI_06275,PBCHDC_01820,PNMAHC_10470,FJKPLL_15360
group_11962,,hypothetical protein;membrane protease subunit stomatin/prohibitin,PDAIHB_15800,PBCHDC_20750,KMNHBM_21450,BBDLCB_18985,MADGKI_10995,PBCHDC_20750,PNMAHC_16900,FJKPLL_09045
yacG,yacG,DNA gyrase inhibitor YacG,PDAIHB_14585,PBCHDC_05545,KMNHBM_06165,BBDLCB_16880,MADGKI_04635,PBCHDC_05545,PNMAHC_24925,FJKPLL_23225
group_11959,asd,archaetidylserine decarboxylase,PDAIHB_01630,PBCHDC_08310,KMNHBM_08310,BBDLCB_05405,MADGKI_19945,PBCHDC_08310,PNMAHC_27475,FJKPLL_25525
group_11957,,DUF3859 domain-containing protein,PDAIHB_25065,PBCHDC_13265,KMNHBM_12725,BBDLCB_18035,MADGKI_11945,PBCHDC_13265,PNMAHC_17650,FJKPLL_08095
mnmA,;mnmA,tRNA-specific 2-thiouridylase MnmA;tRNA 2-thiouridine(34) synthase MnmA,PDAIHB_17380,PBCHDC_19735,KMNHBM_20010,BBDLCB_00725,MADGKI_08335,PBCHDC_19735,PNMAHC_12525,FJKPLL_13360
group_11953,;ftsK,DNA translocase FtsK;Cell division protein FtsK,PDAIHB_17325,PBCHDC_19680,KMNHBM_19955,BBDLCB_00670,MADGKI_08390,PBCHDC_19680,PNMAHC_12580,FJKPLL_13305
fdxH,;fdxH,4Fe-4S dicluster domain-containing protein;Formate dehydrogenase subunit beta;formate dehydrogenase subunit beta,PDAIHB_02400,PBCHDC_09080,KMNHBM_09080,BBDLCB_06165,MADGKI_20705,PBCHDC_09080,PNMAHC_26730,FJKPLL_24770
mpl,mpl;,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase;hypothetical protein;Mur ligase domain-containing protein,PDAIHB_05810,PBCHDC_02770,KMNHBM_02770,BBDLCB_11045,MADGKI_00295,PBCHDC_02770,PNMAHC_05205,FJKPLL_20625
group_11951,terC,Integral membrane protein TerC family,PDAIHB_00090,PBCHDC_06770,KMNHBM_06770,BBDLCB_03865,MADGKI_09145,PBCHDC_06770,PNMAHC_28980,FJKPLL_27060
group_11948,;elaA,GNAT family N-acetyltransferase,PDAIHB_17800,PBCHDC_25170,KMNHBM_25075,BBDLCB_21280,MADGKI_23770,PBCHDC_25170,PNMAHC_00925,FJKPLL_00395
group_11947,;fadH2,sarcosine oxidase subunit alpha family protein;NADPH-dependent 24-dienoyl-CoA reductase sulfur reductase or a related oxidoreductase;sarcosine oxidase subunit alpha,PDAIHB_20760,PBCHDC_19000,KMNHBM_19275,BBDLCB_24070,MADGKI_20970,PBCHDC_19000,PNMAHC_29970,FJKPLL_27905
